Index,Date,Trump,Carson,Bush,Rubio,Cruz,Fiorina,Huckabee,Paul,Kasich,Christie,Walker,Perry,Santorum,Jindal,Graham
1,17-Sep,24,14,9,11,6,15,6,4,2,3,0,0,1,0,0
2,9-Sep,27,23,6,6,5,4,6,3,3,1,2,1,1,0,0
3,7-Sep,33,20,8,7,7,2,3,5,3,1,2,1,1,1,0
4,4-Sep,32,19,9,3,7,3,5,3,2,2,5,0,1,1,1
5,31-Aug,30,18,8,5,8,4,4,2,2,2,3,1,0,0,0
6,28-Aug,29,15,9,7,6,8,5,1,6,2,5,1,2,0,0
7,20-Aug,28,12,7,7,7,5,3,2,5,4,6,1,1,0,0
8,13-Aug,24,9,13,8,5,5,4,6,5,3,8,2,1,0,0
9,11-Aug,25,12,9,4,10,5,6,3,4,3,6,1,1,1,0
10,9-Aug,17,8,10,10,7,9,3,4,4,4,9,1,1,1,1
11,30-Jul,26,7,15,5,6,2,6,5,3,3,9,1,2,1,0
12,30-Jul,26,5,12,4,6,2,6,4,3,4,11,2,1,1,1
13,30-Jul,21,5,10,6,4,1,7,5,4,4,8,2,2,1,1
14,29-Jul,24,6,13,6,6,0,8,4,1,3,10,2,1,2,0
15,26-Jul,19,10,14,5,9,0,6,6,3,3,15,3,1,1,0
16,23-Jul,20,6,10,6,5,1,6,6,5,3,13,2,1,2,1
17,26-Jul,26,5,10,5,7,1,7,3,5,2,14,2,2,2,1
18,22-Jul,18,4,15,6,7,1,5,6,4,4,10,3,2,2,1
19,20-Jul,19,10,12,10,4,4,8,4,3,3,17,1,1,1,0
20,16-Jul,24,6,12,7,4,0,8,6,2,3,13,4,1,2,0
21,13-Jul,18,6,14,7,4,1,4,8,2,3,15,1,2,0,0
22,10-Jul,17,4,14,5,6,1,4,4,1,3,8,1,1,1,0
23,9-Jul,13,6,15,6,9,1,7,6,1,2,7,2,2,2,0
24,26-Jun,12,7,19,6,3,1,8,7,2,3,6,4,3,2,1
25,21-Jun,11,10,15,8,4,3,6,9,2,2,9,2,3,2,1
26,14-Jun,1,11,22,14,4,2,9,7,1,4,17,5,0,0,1
27,11-Jun,2,11,9,9,5,2,8,6,1,4,10,4,3,1,2
28,31-May,4,11,12,7,8,2,6,9,2,5,12,4,2,1,2
29,29-May,3,7,13,14,8,1,10,8,1,4,10,5,2,1,1
30,28-May,4,8,10,10,8,2,9,11,3,6,11,2,4,1,1
31,19-May,5,10,10,10,6,2,10,7,2,4,10,1,0,1,1
32,9-May,4,13,13,9,6,1,10,7,2,6,11,2,2,1,0
33,7-May,0,12,11,13,10,0,12,9,0,5,18,2,0,0,0
34,26-Apr,0,7,23,18,11,1,5,11,0,5,14,2,0,0,0
35,19-Apr,5,6,9,13,8,0,9,10,2,6,12,2,1,1,1
36,16-Apr,0,3,13,15,9,1,7,8,2,7,11,3,2,1,2
37,16-Apr,0,4,17,11,7,2,9,11,2,4,12,3,3,2,2
38,29-Mar,3,11,12,8,10,1,10,9,1,4,15,3,2,2,0
39,26-Mar,0,6,21,8,12,1,8,8,1,7,13,1,2,1,1
40,26-Mar,0,10,17,6,16,0,6,10,0,4,20,3,0,0,0
41,13-Mar,0,9,16,7,4,0,10,12,2,7,13,4,1,1,1
42,1-Mar,0,9,19,5,4,2,10,7,0,6,18,3,2,0,1
43,26-Feb,0,7,16,5,6,0,8,6,1,8,18,1,2,2,1
44,20-Feb,0,18,17,3,5,0,10,4,0,5,25,3,0,0,0
45,12-Feb,0,9,12,6,3,1,17,11,2,7,11,2,2,1,1
46,25-Jan,0,10,15,5,4,0,13,13,2,6,9,4,2,3,1
